Date,Open,High,Low,Close,Adj Close,Volume
2019-03-26,1460.500000,1492.250000,1460.500000,1485.050049,1468.453003,1630147
2019-03-27,1494.000000,1496.949951,1463.500000,1472.050049,1455.598267,1387002
2019-03-28,1473.500000,1508.949951,1473.500000,1497.000000,1480.269409,1353947
2019-04-01,1496.750000,1504.000000,1490.000000,1492.750000,1476.067017,707570
2019-04-02,1493.000000,1523.449951,1484.550049,1519.300049,1502.320190,1326634
2019-04-03,1521.250000,1529.849976,1493.000000,1497.599976,1480.862671,1606692
2019-04-04,1504.800049,1525.000000,1503.000000,1519.000000,1502.023560,1409222
2019-04-05,1520.000000,1523.650024,1503.000000,1514.449951,1497.524414,1129222
2019-04-08,1514.000000,1514.000000,1486.000000,1496.349976,1479.626709,925518
2019-04-09,1464.699951,1474.900024,1437.199951,1444.849976,1428.702271,2642226
2019-04-10,1449.800049,1451.000000,1405.349976,1409.849976,1394.093384,2608319
2019-04-11,1409.699951,1431.949951,1408.000000,1423.150024,1407.244751,1494450
2019-04-12,1432.750000,1444.800049,1425.800049,1438.650024,1422.571655,1510649
2019-04-15,1447.949951,1451.449951,1427.000000,1431.550049,1415.551025,791389
2019-04-16,1442.750000,1464.900024,1440.250000,1459.000000,1442.694214,1463057
2019-04-18,1464.000000,1479.900024,1460.300049,1469.599976,1453.175659,1425676
2019-04-22,1459.949951,1459.949951,1435.000000,1443.349976,1427.218994,737603
2019-04-23,1449.000000,1454.900024,1425.900024,1431.000000,1415.007080,601653
2019-04-24,1436.000000,1459.400024,1431.000000,1450.050049,1433.844238,1154712
2019-04-25,1450.000000,1460.000000,1438.099976,1447.949951,1431.767578,1161847
2019-04-26,1450.000000,1459.349976,1436.000000,1448.750000,1432.558716,704193
2019-04-30,1456.000000,1477.000000,1455.300049,1463.150024,1446.797852,1525776
2019-05-02,1465.000000,1472.900024,1430.099976,1436.599976,1420.544434,774788
2019-05-03,1443.800049,1456.000000,1432.199951,1438.550049,1422.472656,1020007
2019-05-06,1434.949951,1448.599976,1408.550049,1412.800049,1397.010498,1161960
2019-05-07,1426.800049,1426.800049,1376.349976,1387.800049,1372.289917,2863939
2019-05-08,1382.000000,1395.000000,1362.599976,1385.699951,1370.213257,1414591
2019-05-09,1384.949951,1393.650024,1346.550049,1354.199951,1339.065308,2628463
2019-05-10,1314.099976,1350.000000,1314.099976,1341.050049,1326.062378,3476379
2019-05-13,1341.050049,1345.250000,1323.650024,1332.500000,1317.607910,862130
2019-05-14,1330.000000,1334.750000,1302.099976,1320.250000,1305.494751,2167873
2019-05-15,1326.000000,1329.000000,1301.699951,1305.949951,1291.354614,996276
2019-05-16,1312.000000,1314.000000,1295.849976,1304.400024,1289.821899,726485
2019-05-17,1305.000000,1330.750000,1301.000000,1320.000000,1305.247559,860934
2019-05-20,1340.000000,1378.400024,1335.000000,1373.949951,1358.594604,976630
2019-05-21,1384.000000,1384.000000,1352.699951,1357.750000,1342.575684,1166297
2019-05-22,1360.500000,1373.750000,1348.050049,1368.449951,1353.156128,840075
2019-05-23,1389.000000,1389.000000,1357.699951,1367.750000,1352.463867,1527569
2019-05-24,1392.000000,1400.449951,1376.150024,1384.500000,1369.026733,980933
2019-05-27,1386.900024,1390.699951,1362.699951,1366.849976,1351.574097,782730
2019-05-28,1369.949951,1388.849976,1360.000000,1364.349976,1349.101929,1562891
2019-05-29,1360.800049,1366.949951,1347.099976,1358.250000,1343.070190,582768
2019-05-30,1365.000000,1392.000000,1353.900024,1374.599976,1359.237427,1032259
2019-05-31,1381.000000,1428.000000,1381.000000,1407.300049,1391.572021,2559888
2019-06-03,1431.949951,1464.949951,1430.000000,1459.250000,1442.941406,2867897
